CensusTract,Zipcode,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATractsVehicle_20,LAPOP05_10,LALOWI05_10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031010100,60626,1,4854,2302,0,218,4.491141327,0,1,0,1,1,1,35.79687146,62177,0,1,0,1,0,1,1085.351983,258.8197012,1085.351983,22.35995021,258.8197012,5.332091084,137.1804459,2.826131972,90.97630513,1.874254329,633.2049007,13.04501238,317.6277019,6.543627976,51.05933878,1.051902323,0,0,2.841283262,0.058534884,80.61875451,1.660872569,116.2993735,2.395949186,276.8841226,12.027981,108.8815708,4.729868408,2035,1058,277,1810,2437,150,1,33,423,616,1162,433
17031010201,60626,1,6450,2463,0,163,2.527131783,0,0,0,0,0,1,36.83985765,47411,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776,1704,314,2312,2350,299,6,48,1435,2049,751,851
17031010202,60626,1,2818,1115,0,315,11.17814053,0,0,0,0,0,1,18.45849802,51719,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476,623,309,1237,953,143,1,18,466,789,464,232
17031010300,60626,1,6236,2826,0,791,12.68441309,0,1,0,1,1,1,16.14950635,66875,0,1,0,1,0,1,1920.159394,677.8189354,1920.159394,30.79152331,677.8189354,10.86945054,212.3920748,3.405902419,292.1715047,4.685239011,1182.646137,18.96481938,521.4311305,8.361628135,59.38623047,0.952312868,2.716935337,0.043568559,6.497110117,0.104187141,147.4818504,2.365007222,204.0347795,3.271885495,314.8708758,11.14192767,137.4224561,4.862790378,2117,951,884,3267,1722,346,16,21,864,1169,993,470
17031010400,60626,1,5042,2098,0,1349,26.75525585,0,0,0,0,0,1,19.06069761,59861,0,0,0,0,0,0,5.158026695,1.763735533,5.158026695,0.102301204,1.763735533,0.034980871,0.872313321,0.017300939,0.18963334,0.003761074,3.223766565,0.06393825,1.289506674,0.025575301,0.530973315,0.010531006,0,0,0,0,0.113779999,0.002256644,0.227559999,0.004513288,1.205787063,0.057473168,0.401145935,0.019120397,1322,419,263,3341,729,562,5,17,388,480,655,277
17031010501,60626,1,4091,2293,0,7,0.171107309,0,0,0,0,0,1,20.70048309,50266,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894,562,392,2018,1300,383,5,23,362,506,1132,466
17031010502,60626,1,3101,1684,0,3,0.096742986,0,0,0,0,0,1,30.03264418,37500,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356,376,106,1820,776,239,1,31,234,340,751,180
17031010503,60626,1,2290,1184,0,163,7.11790393,0,0,0,0,0,1,48.04436661,43654,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,142,535,1452,303,331,2,19,183,245,494,296
17031010600,60626,1,6097,2943,0,175,2.870264064,0,0,0,0,0,1,24.38904379,87545,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329,980,396,3459,1542,329,1,33,733,1153,1263,365
17031010701,60626,1,3864,1535,0,0,0,0,0,0,0,0,1,20.79129049,72500,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593,962,240,2125,761,204,2,15,757,1463,285,273
17031010702,60626,1,5143,1912,0,60,1.16663426,0,0,0,0,0,1,24.19418239,49440,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,1363,167,2381,1155,323,3,36,1245,2423,698,406
17031020100,60645,1,3965,1508,0,48,1.210592686,0,0,0,0,0,1,14.23357664,65982,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1000,352,1529,1182,608,4,28,614,952,250,250
17031020200,60645,1,6676,2054,0,118,1.767525464,0,0,0,0,0,0,13.53316516,71300,0,0,0,0,0,0,284.86376,17.60481384,284.86376,4.266982624,17.60481384,0.263703023,111.5472817,1.670870008,29.73475081,0.445397705,227.9045696,3.413789239,11.4015646,0.170784371,32.96012139,0.493710626,0,0,0,0,12.59751034,0.188698477,20.78545672,0.311345966,0.605584219,0.029483165,13.61282176,0.662746921,2080,1865,838,4069,618,1394,1,8,586,943,91,352
17031020301,60645,1,4750,1969,0,2,0.042105263,0,0,0,0,0,0,13.60219982,72461,0,1,0,1,0,0,1862.265081,531.8429942,1862.265081,39.20558064,531.8429942,11.19669461,705.0026719,14.84216151,235.0197064,4.947783292,1639.649025,34.51892685,35.09503371,0.738842815,83.40909195,1.755980883,0,0,4,0.084210526,100.1119259,2.107619493,182.6475842,3.845212299,25.64123965,1.302246808,74.73558789,3.795611371,1916,1228,1233,3965,106,470,0,15,194,289,346,276
17031020302,60645,1,4650,1630,0,369,7.935483871,0,1,0,0,0,1,22.82586661,95125,0,1,0,1,0,0,1662.669819,574.2648802,1662.669819,35.75634019,574.2648802,12.34978237,422.4479449,9.084902041,244.0499181,5.248385335,1243.841316,26.74927562,104.7310339,2.252280298,205.6441669,4.422455202,0,0,3.597624958,0.077368279,104.8556769,2.254960793,241.8558029,5.201200063,92.68556709,5.68623111,78.75629438,4.831674502,1721,1103,685,3051,462,504,0,12,621,952,277,233
17031020400,60645,1,4168,1688,0,15,0.359884837,0,0,0,0,0,0,17.93902151,75179,0,1,0,1,0,0,818.0980988,330.4941115,818.0980988,19.62807339,330.4941115,7.929321294,181.7423811,4.360421811,78.09530711,1.873687791,462.9865685,11.10812304,94.61457586,2.270023413,101.4216008,2.433339751,0,0,9.473202705,0.227284134,149.6021539,3.589303117,236.4859698,5.673847644,51.8481589,3.071573394,35.30710295,2.091653018,1463,1016,409,2266,718,530,0,27,627,987,200,162
17031020500,60626,1,6214,2077,0,241,3.878339234,0,0,0,0,0,1,26.31247044,46250,0,0,0,0,0,0,38.14562988,24.4592762,38.14562988,0.613865946,24.4592762,0.393615645,11.58854675,0.186490936,2.092376471,0.033671974,12.39330673,0.199441692,4.506656647,0.072524246,13.51997089,0.217572753,0,0,1.126664162,0.018131062,6.599033356,0.106196224,9.979025841,0.160589408,2.259279013,0.108776072,2.995215416,0.144208735,3553,1592,641,2167,1221,1684,1,54,1087,1528,354,593
17031020601,60645,1,6353,1990,0,32,0.50369904,0,0,0,0,0,1,24.33534497,48393,0,0,0,0,0,0,335.1318731,116.1769464,335.1318731,5.275175085,116.1769464,1.828694261,100.8648998,1.587673536,36.42772099,0.573394003,260.0728779,4.09370184,10.86181846,0.170971485,35.98816633,0.566475151,0,0,1.556226611,0.024495933,26.65278506,0.419530695,55.38281941,0.87175853,10.9415482,0.549826543,34.50180262,1.733758926,3183,1876,584,3908,304,1317,1,38,785,1010,429,616
17031020602,60645,1,4340,1397,0,13,0.299539171,0,1,0,0,0,1,22.00977268,49750,0,1,0,1,0,0,878.2697468,387.707655,878.2697468,20.23663011,387.707655,8.933356105,214.1265225,4.933790842,98.35892248,2.266334619,489.4226437,11.27701944,69.20656663,1.594621351,162.6017892,3.746585005,0,0,4.789195418,0.110350125,152.2495509,3.508054169,187.6032822,4.322656272,29.28652871,2.096387166,55.8838383,4.000274753,2696,1117,435,2084,326,1215,5,11,699,1139,283,251
17031020701,60659,1,1704,648,0,0,0,0,0,0,0,0,0,6.636155606,107426,0,1,0,1,0,0,802.8740917,219.2384436,802.8740917,47.11702416,219.2384436,12.86610585,188.508967,11.0627328,125.2188492,7.348524015,546.9699871,32.09917765,20.85264325,1.22374667,165.9639342,9.7396675,0,0,2.107901096,0.123703116,66.97963536,3.930729775,90.43357207,5.307134511,8.129882876,1.254611555,27.59465309,4.258434119,464,385,281,1088,42,418,0,7,149,227,16,57
17031020702,60645,1,7194,2312,0,141,1.959966639,0,0,0,0,0,1,22.09317848,46625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3628,1799,881,3618,556,2090,0,32,898,1174,256,675
17031020801,60659,1,5458,2017,0,2,0.036643459,0,0,0,0,0,1,16.4921466,54688,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314,1241,585,2945,386,1184,2,32,909,1467,227,435
17031020802,60645,1,6963,2111,0,21,0.30159414,0,0,0,0,0,1,26.16087287,52277,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4315,1882,508,2347,746,2561,0,43,1266,1773,317,751
17031020901,60659,1,5221,1790,0,16,0.306454702,0,0,0,0,0,1,28.8907563,42702,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3622,1366,300,1839,1061,1182,1,36,1102,1526,377,473
17031020902,60659,1,4286,1564,0,461,10.7559496,0,0,0,0,0,1,26.65758401,40212,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307,846,493,2095,564,1123,2,10,492,734,408,417
17031030101,60660,1,3893,2334,0,15,0.385306961,0,0,0,0,0,1,14.70276008,56488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,446,590,2017,996,505,0,20,355,544,634,282
