STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
QUICK STOP FOOD MART,39791,3604,3000,B,2751 W PRATT BLVD,60645,WEST RIDGE,2,50,17031020601,1.7031E+14,1156542.527,1944958.748,42.00475007,-87.69942278,"(42.0047500731, -87.6994227766)"
DOMINICK'S #147/1147,41674,5033,68000,A,1340 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,1.70318E+14,1173296.123,1893985.705,41.86452119,-87.6393041,"(41.8645211937, -87.6393040996)"
CERMAK PRODUCE,1515206,279468,25000,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,1.70316E+14,1150549.398,1869568.674,41.79799187,-87.72344374,"(41.79799187, -87.7234437408)"
WHOLE FOODS MARKET,54059,86298,4501,B,3300 N ASHLAND AVE,60657,LAKE VIEW,6,44,17031062500,1.70311E+14,1165027.797,1921997.107,41.94156586,-87.6688604,"(41.9415658578, -87.6688604029)"
PATEL BROS,25338,88729,5000,B,2610 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,1.7031E+14,1157695.367,1942415.316,41.9977473,-87.69525116,"(41.9977473006, -87.6952511581)"
OHIO FOOD MART,1225367,243092,3500,B,5345 W OHIO ST,60644,AUSTIN,25,37,17031251500,1.70313E+14,1140427.886,1903410.306,41.89104929,-87.75973284,"(41.8910492873, -87.7597328373)"
TWO BLUE FOODS INC,66710,20549,3000,B,702 E 100TH PL,60628,PULLMAN,50,8,17031500100,1.70315E+14,1183074.984,1838632.193,41.71240379,-87.60512759,"(41.712403787, -87.6051275894)"
JEWEL FOOD STORE #3349,1353385,259,64285,A,2520 N NARRAGANSETT AVE,60639,BELMONT CRAGIN,19,36,17031831500,1.70318E+14,1133277.021,1916208.365,41.92629696,-87.78569482,"(41.9262969563, -87.785694824)"
CARNICERIA LA GLORIA,1471030,271545,6500,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,1.70316E+14,1160008.902,1870722.707,41.80096928,-87.6887221,"(41.8009692763, -87.6887220987)"
WHOLE FOODS MARKET,1678043,86298,11310,A,1101 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,1.70318E+14,1173339.136,1895578.037,41.86888971,-87.63909893,"(41.8688897111, -87.6390989281)"
PETERSON FOOD MART,1272746,251347,2500,B,2534 W PETERSON AVE,60659,WEST RIDGE,2,50,17031020802,1.7031E+14,1158181.49,1939808.892,41.99058521,-87.69353452,"(41.9905852147, -87.6935345218)"
STANLEY'S,15042,6609,10001,A,1558 N ELSTON AVE,60622,WEST TOWN,24,32,17031842300,1.70318E+14,1166918.65,1910717.903,41.91057467,-87.66223523,"(41.9105746696, -87.6622352294)"
FOOD 4 LESS,1884255,251246,58000,A,4821 W NORTH AVE,60639,AUSTIN,25,37,17031250800,1.70313E+14,1143859.692,1910159.121,41.90950515,-87.74695994,"(41.9095051477, -87.7469599363)"
COMMERCIAL GROCERY,56894,23932,2500,B,3004 E 100TH ST,60617,SOUTH DEERING,51,10,17031510100,1.70315E+14,1197923.012,1839161.153,41.71349784,-87.55073311,"(41.7134978435, -87.5507331066)"
JEWEL FOOD STORE,1953613,259,62603,A,11730 S MARSHFIELD AVE,60643,MORGAN PARK,75,34,17031750500,1.70318E+14,1167478.162,1826818.27,41.68033221,-87.66258468,"(41.6803322053, -87.6625846787)"
"LA UNICA FOOD MART, INC.",491,90,5000,B,1515 W DEVON AVE,60660,EDGEWATER,77,40,17031030200,1.7031E+14,1164985.885,1942560.493,41.99799346,-87.66842789,"(41.9979934597, -87.6684278857)"
MID TOWN FOODS,39968,15264,3520,B,3855 W DIVISION ST,60651,HUMBOLDT PARK,23,27,17031231200,1.70312E+14,1150230.934,1907681.305,41.90258387,-87.72361925,"(41.9025838739, -87.7236192485)"
THREE BROTHER,6321,62766,10001,A,900 N FRANCISCO AVE,60622,WEST TOWN,24,26,17031242700,1.70312E+14,1156842.05,1906097.7,41.89810682,-87.69937838,"(41.8981068159, -87.6993783779)"
CUENCA'S BAKERY & GROCERIES,1619464,292181,4500,B,4229 W MONTROSE AVE,60641,IRVING PARK,16,38,17031160300,1.70312E+14,1147271.221,1928863.708,41.96076752,-87.73394693,"(41.9607675196, -87.7339469271)"
JEWEL FOOD STORES #3262,1409,259,35000,A,4660 W IRVING PARK RD,60641,PORTAGE PARK,15,45,17031831700,1.70318E+14,1144267.993,1926214.3,41.95355444,-87.74505531,"(41.9535544384, -87.7450553112)"
ROMAN BROS 1 INC,11900,5925,10001,A,6978 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,1.7031E+14,1163418.927,1946507.167,42.00885647,-87.67408037,"(42.0088564722, -87.674080374)"
